App Name,Publisher,Link,Full Description,Shared Data,Collected Data,Security Practices
Clever AI Hub - Pro AI Agents,Neurolify,https://play.google.com/store/apps/details?id=com.turbofasttools.geniusai,"From chat to photo & video generation powered by Runway, Gemini, Grok and Claude",,"Photos and videos, Personal info, App info and performance, Device or other IDs, App activity","Data is encrypted in transit, You can request that data be deleted"
niji・journey - AI Anime Art,Spellbrush,https://play.google.com/store/apps/details?id=com.spellbrush.nijijourney,Words to AI Anime Pictures!,,"Financial info, Device or other IDs, Photos and videos, App info and performance, App activity, Location, Personal info","Data is encrypted in transit, You can request that data be deleted"
GoatChat - AI Chatbot,Zed LATAM,https://play.google.com/store/apps/details?id=plus.adaptive.goatchat,AI Chat+Writer Assistant. Chatbot app writer based on GoatChat API!,"Photos and videos, Files and docs, Messages","Photos and videos, Files and docs, App activity","Data is encrypted in transit, You can request that data be deleted"
Suka:AI Character&AI Story,AILI TECH,https://play.google.com/store/apps/details?id=com.ezuseapp.ezcrush.chatbot,"AI Friend, AI Girlfriend, Character AI, AI Chatbot, Interative role-play",,"Device or other IDs, App activity, App info and performance","Data is encrypted in transit, Data can’t be deleted"
Kin - Personal AI Companion,Kin AI,https://play.google.com/store/apps/details?id=ai.mykin.app,"Think, plan, and evolve with a private AI that truly remembers you.","App info and performance, App activity",,"Data is encrypted in transit, You can request that data be deleted"
HYRA AI - AI on Edge Computing,HYRA APPLICATION MANAGEMENT COMPANY LIMITED,https://play.google.com/store/apps/details?id=com.hyratek.salala,Earn with HYRA AI: Turn your phone into an AI-powered income source.,,,"Data is encrypted in transit, You can request that data be deleted"
AI Art Image Generator – GoArt,AI Art Photo Editor | Everimaging Ltd.,https://play.google.com/store/apps/details?id=com.everimaging.goart,"AI photo generator, create AI painting, AI drawing dream arts by art nft creator","App info and performance, Personal info, App activity, Device or other IDs","App info and performance, Personal info, App activity, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
ImagineArt: AI Image Generator,Vyro AI,https://play.google.com/store/apps/details?id=com.vyroai.aiart,"Create Logos, Flyers, Posters & More with our AI Image Generator & Design Editor",,,"Data is encrypted in transit, Data can’t be deleted"
Moescape - AI Character Chat,Moescape,https://play.google.com/store/apps/details?id=ai.moescape.android,Try DeepSeek for roleplay,App info and performance,"Personal info, Device or other IDs, App info and performance, App activity","Data is encrypted in transit, You can request that data be deleted"
LoveGPT: AI Boy & Girlfriend,kodrakcompany,https://play.google.com/store/apps/details?id=com.kodrak.aidreamgirls,Engage in role-play with AI Girlfriend and Boyfriend.(Friendly with LGBT),Device or other IDs,,"Data is encrypted in transit, Data can’t be deleted"
CloneAI: AI Video Generator,Pixery Bilgi Teknolojileri,https://play.google.com/store/apps/details?id=com.pixerylabs.cloneai,"AI-generated photos & videos: hugs, kisses, future baby, and AI lifetime trend!","Device or other IDs, Financial info","Device or other IDs, Photos and videos, Financial info","Data is encrypted in transit, Data can’t be deleted"
AI Chat・Ask Chatbot Assistant,AI Chat Studio,https://play.google.com/store/apps/details?id=com.mlink.ai.chat.assistant.robot,"AI Chat, AI Photo Generator, AI Writing & More! Powered by DeepSeek-V3 & R1.","App info and performance, App activity","Photos and videos, Files and docs, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
Rochat-AI Powered Chatbot,rochat.ai,https://play.google.com/store/apps/details?id=ai.rochat.bot,Engage with AI Characters in Real-Time,,App info and performance,"Data is encrypted in transit, You can request that data be deleted"
ChatPub – All-In-One AI Chat,"Circo, Inc.",https://play.google.com/store/apps/details?id=com.theconversationai.com,Powered by ChatGPT & GPT-4o,"Messages, Personal info, Device or other IDs, App info and performance, Location, App activity","Files and docs, Messages, Personal info, Audio, Device or other IDs, App info and performance, Location, Photos and videos, App activity","Data is encrypted in transit, You can request that data be deleted"
