App Name,Publisher,Link,Full Description,Shared Data,Collected Data,Security Practices
VoiceEchoAI:Real Voice Cloning,SuperMind,https://play.google.com/store/apps/details?id=com.superai.echo_voice_ai,"Voice Changer,Text to Speech,Text to Audio,Text to sound effects,Echo AI",,,
ID.me Authenticator,ID.me,https://play.google.com/store/apps/details?id=me.id.auth,ID.me Authenticator is a simple and free Two Factor Authentication solution,,"Device or other IDs, App info and performance, App activity, Personal info","Data is encrypted in transit, You can request that data be deleted"
Dressify: Virtual Fitting Room,JM SC,https://play.google.com/store/apps/details?id=com.jmsc.dressify,Your virtual fitting room,App activity,Personal info,"Data is encrypted in transit, You can request that data be deleted"
AI Video Generator: Voiser AI,Voiser Teknoloji Limited Sirketi,https://play.google.com/store/apps/details?id=ai.voiser.aivideo,"AI Video Generator, Text to Video & Image to Video. With SoundFX, Up to 4K",,,"Data isn’t encrypted, Data can’t be deleted"
Fakeradar,PRGRSV,https://play.google.com/store/apps/details?id=com.fakeradar,Fake News & Deepfake Detector,Device or other IDs,Device or other IDs,Data is encrypted in transit
Face Search AI,Persist Ventures,https://play.google.com/store/apps/details?id=com.facesearch.app,Face Search AI finds online images and traces web presence from uploaded photos,,,"Data is encrypted in transit, You can request that data be deleted"
Voice Cloning-AI Voice Cloning,Super Jiu,https://play.google.com/store/apps/details?id=com.liba.voice,"AI Voice clone, restore any voice you want ,text to speech, ai voice generator",Audio,,"Data is encrypted in transit, Data can’t be deleted"
Transform Your Face - NFace,GlintTec Apps,https://play.google.com/store/apps/details?id=ai.avatar.maker.generated.art.image.picture.photo.generator.sport.profession.fantasy.funny.couples,"AI Image Generator: Face Swap, Filters, Tattoo Simulator & Hairstyle Try-On",Location,"App activity, Device or other IDs, App info and performance","Data is encrypted in transit, Data can’t be deleted"
Hicut:Face Swap AI Video App,Songzan,https://play.google.com/store/apps/details?id=com.hicut.app,"AI Face Swap, Video Effects Editor, Realtime Morph, Funny Video FX,AI Filters","Files and docs, Personal info, Audio, Device or other IDs, Photos and videos",,"Data is encrypted in transit, Data can’t be deleted"
"Videa: AI Video Maker, Effects",PURE APPS,https://play.google.com/store/apps/details?id=com.videoai.effects,Video AI: Revolutionize Your Content Creation with Advanced Video Generation,App info and performance,Device or other IDs,"Data isn’t encrypted, Data can’t be deleted"
MOVA - AI Hug Video & Filter,ORIGO Game,https://play.google.com/store/apps/details?id=com.ai.video.mova,"AI Hug Trend, Dancing Meme, Image to Video & Anime Filters",Device or other IDs,,"Data is encrypted in transit, Data can’t be deleted"
Revoice: Change your voice,Balacoon.Revoice,https://play.google.com/store/apps/details?id=com.app.vc,Change your voice and sound like any person in the world,Device or other IDs,,Data is encrypted in transit
FaceFancy-Face Swap & AI Photo,SZYJ Technology,https://play.google.com/store/apps/details?id=com.fancy.face,"AI VIDEO SWAP, AI Headshot, AI Avatar Generator, along with various AI Effect","Personal info, Photos and videos, Location, Device or other IDs, Financial info, App info and performance","Personal info, Files and docs, Financial info, App info and performance","Data is encrypted in transit, You can request that data be deleted"
Face Swap Magic: AI Avatars,Hangover Studios,https://play.google.com/store/apps/details?id=com.hangoverstudios.faceswap.ai.art.avatar.generator,"Create professional, comic or cartoon avatars using AI face swap technology","Device or other IDs, Photos and videos",,"Data is encrypted in transit, Data can’t be deleted"
BFS AI - Photo & Video Editor,AoFun Studio,https://play.google.com/store/apps/details?id=com.faceswap.pro.android,BFS AI is an all-in-one AI face editor designed for both photos and videos.,,"Photos and videos, App activity, Personal info, Device or other IDs, App info and performance","Data isn’t encrypted, You can request that data be deleted"
AI Image Generator ImagineFlow,Guru AI Lab,https://play.google.com/store/apps/details?id=ai.image.playground.generator.free.creator.picture.photo,"Turn text & elements into trending AI art with our easy, fast image generator!",,"Device or other IDs, App activity, App info and performance",Data isn’t encrypted
Vidy: AI Video Generator,"PixelByte, Inc",https://play.google.com/store/apps/details?id=com.pixelbyte.sorart,Create AI Video with Our AI Video Generator and Text To Videos & Image To Videos,App info and performance,"App activity, App info and performance",Data is encrypted in transit
Face Swap Live,Hairstyle Photo Apps,https://play.google.com/store/apps/details?id=com.best.photo.app.faceswaplive,Face Swap Live - change face on photo&video! Face Swap realtime! 3D face masks!,,,"Data is encrypted in transit, You can request that data be deleted"
MemeMe: AI Meme Maker,"Cardinal Blue Software, Inc.",https://play.google.com/store/apps/details?id=com.cardinalblue.aimeme,Fun Face Swap Meme and GIF Generator,App activity,App activity,"Data is encrypted in transit, You can request that data be deleted"
Cut and Paste Photos,ZipoApps,https://play.google.com/store/apps/details?id=com.photoappworld.cut.paste.photo,Cut and Paste Photos - customize photos by cutting and pasting in another photo!,"Device or other IDs, App info and performance","Device or other IDs, App info and performance","Data is encrypted in transit, Data can’t be deleted"
MagicSwap Photo Editor AI,Skylink Labs,https://play.google.com/store/apps/details?id=com.skylinklabs.magicswap,Luxury AI photo editor! Create pro-level avatars & stunning face swaps.,,"Personal info, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
AI Video Generator - SnapClip,Guru AI Lab,https://play.google.com/store/apps/details?id=ai.video.photo.animator.face.dance.animation,AI photo to video in a flash with AI Video Generator. Popular AI Hug & AI Kiss!,,"Device or other IDs, App info and performance, App activity",Data isn’t encrypted
FunSwap - AI Face Swap,AI Tech Hub,https://play.google.com/store/apps/details?id=com.ai.lab.face.swap,Swap Faces with Anyone! Professional to Funny Templates. Realistic Face Swap app,,Device or other IDs,Data is encrypted in transit
AI Photo Retake - FaceAura,Guru AI Lab,https://play.google.com/store/apps/details?id=ai.photo.enhancer.retake.app.free.face.editor,"AI photo enhancer & editor learns your profile for perfect, custom photo retakes",,"App activity, App info and performance, Device or other IDs",Data isn’t encrypted
Cupace - Cut Paste Face Photo,Picmax,https://play.google.com/store/apps/details?id=com.picmax.cupace,A simple and powerful photo editor app to cut and paste face in a photo,,,Data is encrypted in transit
Photo Face Swap: FaceSwap AI,Nexora AI,https://play.google.com/store/apps/details?id=com.photo.faceswap.ai.face.swap,"Choose Templates or Photo Swap Face , Morph & Remake Tool for Perfect Swaps Now!","Device or other IDs, Photos and videos","Device or other IDs, App info and performance",Data is encrypted in transit
FaceBot: Swap faces with AI,Kennedy Phiri,https://play.google.com/store/apps/details?id=com.zhaiface.android,Swap faces with AI in videos & photos! Fun templates & pro photo tools await!,,,"Data is encrypted in transit, Data can’t be deleted"
FacePlay - AI Avatar Studio,"Coming Technology ., JSC",https://play.google.com/store/apps/details?id=com.coming.app.faceswap,AI app for charming high-quality faceswaps. And fun,"App activity, App info and performance, Device or other IDs","App activity, App info and performance, Device or other IDs","Data is encrypted in transit, Data can’t be deleted"
AI Video Face Swap AI Headshot,Face play Photo Editor & Maker,https://play.google.com/store/apps/details?id=com.video.reface.app.faceplay.deepface.photo,"FaceJoy AI Video AI Hairstyle Generator, twerk Re face play photo video editor",,"App activity, Location, Device or other IDs, App info and performance, Financial info","Data is encrypted in transit, Data can’t be deleted"
FaceFun: AI Video & Pic Maker,Renrenlian,https://play.google.com/store/apps/details?id=com.facefun.app,AI kiss & hug video; AI photo generator; Morph face app,"Location, App info and performance, Financial info, Device or other IDs, App activity","Location, App info and performance, Financial info, Personal info, Device or other IDs, Photos and videos, App activity","Data is encrypted in transit, Data can’t be deleted"
Magic AI Video Generator,M-AI Studio,https://play.google.com/store/apps/details?id=com.ki.ai.video,AI Video Generator & AI Video Maker. Turn Image to Video & Turn Text to Video,,,"Data is encrypted in transit, You can request that data be deleted"
Magicface-AI Face Swap,YJ  Tec,https://play.google.com/store/apps/details?id=face.swap.playshowad,"AI photo, video face change",,Personal info,"Data is encrypted in transit, You can request that data be deleted"
AI Video Generator-AIVideoGen,Nar Apps Oyun Yazilim Teknolojileri A.S.,https://play.google.com/store/apps/details?id=com.videoai.app,"Create high-quality videos, AI-generated movies and more with AI Video Generator","App info and performance, Photos and videos, Personal info",Personal info,"Data is encrypted in transit, Data can’t be deleted"
AIMotion - Face Dance & Revive,SuTV,https://play.google.com/store/apps/details?id=sutv.aimotion.app,Create Fun Videos and Animate Photos: Make your photos dance and come to life.,,"Device or other IDs, Photos and videos, Audio","Data is encrypted in transit, Data can’t be deleted"
MaskFace-AI Face Swap,MaskFace,https://play.google.com/store/apps/details?id=com.aiavatar.maskface,"Instant Face Swapping, Video Powered by Advanced AI Technology",,"App info and performance, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
AI Fans - AI Creation,heyfunteam,https://play.google.com/store/apps/details?id=com.zdtqsx.app,AI Style Cool Video/Photo Genetator.,Device or other IDs,"Device or other IDs, Photos and videos, Personal info","Data is encrypted in transit, You can request that data be deleted"
Frame AI,MADROID,https://play.google.com/store/apps/details?id=com.matdroid.frameai,"All-in-One AI Image App: Midjourney, Flux, Leonardo AI, Recraft & More!",,Personal info,"Data is encrypted in transit, You can request that data be deleted"
WOMBO Elections: AI Memes,Wombo Studios Inc,https://play.google.com/store/apps/details?id=ai.wombo.me,Generate 2024 Political Campaign Avatars & Photos of Donald Trump & Joe Biden,"Financial info, Personal info","Device or other IDs, Photos and videos, App activity, Financial info, Personal info, App info and performance","Data is encrypted in transit, You can request that data be deleted"
Face Swap Magic - Photo Editor,Apps Aces. AI,https://play.google.com/store/apps/details?id=com.face.swap.changer.swapper.photo.editor,Face Swap AI for Anyone! Face Morph allows Realistic AI Face Swap Magic Avatars.,Photos and videos,,Data is encrypted in transit
Face Swap AI Video Maker Magic,Nexora AI,https://play.google.com/store/apps/details?id=com.video.face.swap.nexora.ai,Create HD AI face swap videos with realistic effects! Templates + social sharing,"Device or other IDs, Photos and videos","Device or other IDs, App activity, App info and performance, Financial info",Data isn’t encrypted
AI Face Swap: Photo Editor App,Pixapro.ai,https://play.google.com/store/apps/details?id=ai.faceswap.avatar.age.gender.changer,Swap Faces with anyone using the AI photo editor face swap app,,,"Data is encrypted in transit, Data can’t be deleted"
Imagine AI: AI Video Generator,Fordnine,https://play.google.com/store/apps/details?id=com.fordnine.imagine.ai.video.and.animation.generator,"Effortlessly make amazing videos with AI. Text to video, animations, and more",,,"Data is encrypted in transit, Data can’t be deleted"
RemakeFace : AI Face Swap,Dirgasena,https://play.google.com/store/apps/details?id=com.onihstudio.remakeraifaceswap,Unlimited Face Swap AI without credit,"Personal info, App activity, Web browsing, Location, Financial info, Device or other IDs",,"Data is encrypted in transit, Data can’t be deleted"
Face Switch - Ai Face Swap Fun,Pear Soft,https://play.google.com/store/apps/details?id=com.faceswitchai,"Swap faces instantly with AI magic! Fun, fast, and easy face swap app",,,"Data is encrypted in transit, Data can’t be deleted"
MagicSwap: Face Swap AI Editor,Apps Aces. AI,https://play.google.com/store/apps/details?id=deepfake.faceswap.ai.art.hug.generator.kiss.video,Swap faces with MagicSwap: Face Swap AI Editor Great for fun photo swaps,Photos and videos,,"Data is encrypted in transit, Data can’t be deleted"
"AI Video Generator, Kiss Video","AI Music AI Video Generator, AI Chat AI Girlfried",https://play.google.com/store/apps/details?id=saver.ins.fb.twitter.storydownloader,"Viddo: Generate AI kiss & AI hug videos, turn text to videos & image to videos","App activity, Device or other IDs, App info and performance",,"Data is encrypted in transit, Data can’t be deleted"
FaceMagic: AI Face Editor,Apero Vision Lab,https://play.google.com/store/apps/details?id=com.faceapp.faceretouch.aifaceeditor,"AI Face Editor to do face editing, enhance photo, change hairstyles & clothes.","Device or other IDs, Photos and videos",,"Data is encrypted in transit, Data can’t be deleted"
Deep Swap - Face Swap AI Photo,Luka Renatas,https://play.google.com/store/apps/details?id=com.ai.aifaceswap.aiheadshotgenerator,"Face Swap - Deep Face Swap, AI Face Swapping made easy in photos & videos.",,Photos and videos,Data isn’t encrypted
"Face Swap, AI Avatar Magic",AdoreApps Media,https://play.google.com/store/apps/details?id=com.faceswap.ai.art.avatar.generator.artgenerator,Transform faces in photos & videos. Fun face swap & AI avatar generator.,,,Data is encrypted in transit
Faceswap: Change Face in Video,AppZine,https://play.google.com/store/apps/details?id=com.ozer.faceswap,Use Faceswap AI to swap faces and change face in video with a face changer.,,"Photos and videos, Personal info, Financial info","Data is encrypted in transit, You can request that data be deleted"
AI Face Swap Image,Santorini Apps,https://play.google.com/store/apps/details?id=com.santonriniapps.imagefaceswap.photoswap,Experience the gender swap effect: Try your outlook in different face.,,Device or other IDs,"Data is encrypted in transit, Data can’t be deleted"
Faceshift: One Tap Face Swap,Polygonull,https://play.google.com/store/apps/details?id=polygonull.faceshift,"Face swap any video, GIF or picture you like with just a single picture.","Photos and videos, Financial info, App info and performance, Device or other IDs","Personal info, Photos and videos, Financial info, App info and performance, App activity, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
Face Swap with AI,Simpfox,https://play.google.com/store/apps/details?id=com.handyai.faceswap,Face Swap helps you change your face into another character's image,"Location, Device or other IDs",,"Data is encrypted in transit, Data can’t be deleted"
Mivo: Face Swap Video Bride,Mivo studio,https://play.google.com/store/apps/details?id=ins.story.unfold,"Face Dance,Face Swap Video,Photo Maker,AI composite video editor,Reface","Personal info, Device or other IDs","App activity, App info and performance, Personal info, Device or other IDs","Data is encrypted in transit, Data can’t be deleted"
Face AI:AI Face Swap,AI Face Swap,https://play.google.com/store/apps/details?id=com.faceai.swap,Funny morph deep swapping edit,,"Personal info, Photos and videos","Data isn’t encrypted, Data can’t be deleted"
Mango Face Swap Video,WONDER IDEA,https://play.google.com/store/apps/details?id=com.wonderidea.mangoai.videofaceswap,Use Mango Face Swap Video APP to swap faces in videos in real time.,"Messages, Device or other IDs, App info and performance, Files and docs, Personal info, App activity, Audio, Photos and videos, Financial info",Personal info,"Data is encrypted in transit, You can request that data be deleted"
ModFace-Face Swap Video Editor,Sky Rocket Apps,https://play.google.com/store/apps/details?id=com.skyrocketapps.modface,Face swap video editor that can change any face of any videos offline.,"App info and performance, Device or other IDs, Location",,Data is encrypted in transit
FaceAI - Face Swap & AI Photos,Open Artificial Intelligence,https://play.google.com/store/apps/details?id=com.ai.dalleface,Swap one or many faces effortlessly with FaceAI - Face Swap & AI Photos,,,"Data is encrypted in transit, Data can’t be deleted"
FaceHello : AI Face Swap,AbcMobile,https://play.google.com/store/apps/details?id=com.facehello.faceswap,Unlimited Face Swap AI without credit,,,"Data is encrypted in transit, Data can’t be deleted"
Swap Snap- Ai face swap magic,Meta Sol,https://play.google.com/store/apps/details?id=com.swapsnap.ai,Face Swap with anyone Group face Swap & realistic face swap app with ai template,,,"Data is encrypted in transit, Data can’t be deleted"
Revamp Face: AI face swap,Plafon Teenit Studio,https://play.google.com/store/apps/details?id=com.plafontenit.remakerai.faceswap,"Swap faces with your friends, family or favorite celebrities with fun.","Location, Device or other IDs",,"Data is encrypted in transit, Data can’t be deleted"
Video Face Swap - AI FaceFun,TH74Dev,https://play.google.com/store/apps/details?id=th74dev.video.ai.face.swap.facefusion,Add a dash of fun to your videos with our incredible face swapping app,"App activity, Location, App info and performance, Device or other IDs","App activity, Location, App info and performance, Device or other IDs","Data is encrypted in transit, You can request that data be deleted"
Face Swap - AI Face Swap Video,M-AI Studio,https://play.google.com/store/apps/details?id=com.ai.face.swap.video,"AI Face Swap Image and Video, faceswap and deepfake effect. Change face of photo",,,"Data is encrypted in transit, You can request that data be deleted"
Face Swap with Ai Enhancer,Yeardin Studio,https://play.google.com/store/apps/details?id=com.yeardin.livefaceswap.faceswapper,Face Swap in Video seamlessly exchanges face between your videos,,,"Data isn’t encrypted, Data can’t be deleted"
FaceOver Lite: AI Face Swap,AT-Mobile,https://play.google.com/store/apps/details?id=com.faceover.faceswap.lite,Transform faces with AI magic. Swap and blend photos effortlessly.,,,"Data is encrypted in transit, Data can’t be deleted"
Quick Face Swap AI Face Switch,Global Pixel Studio,https://play.google.com/store/apps/details?id=com.groundsoft.faceswap,AI Face Swap App Celeb Replace Switch Gender Morph Picture,,,"Data is encrypted in transit, Data can’t be deleted"
Face swap: face changer,Plafon Teenit Studio,https://play.google.com/store/apps/details?id=com.plafontenit.revampaifaceswap,"unlimited exchange, no credit and no limits. No sign up, no watermark.","Device or other IDs, Location",,"Data is encrypted in transit, Data can’t be deleted"
Swaphub - Deep fake face swap,MED-OZ PTY LTD,https://play.google.com/store/apps/details?id=ai.face.swap.video,Revolutionary face-swap app: endless possibilities at your fingertips!,"App info and performance, Photos and videos, Device or other IDs",Device or other IDs,"Data is encrypted in transit, Data can’t be deleted"
Face Swap AI Video Generator,KevsApps,https://play.google.com/store/apps/details?id=ai.face.swap.swapper.facemagic.deep.fake.enhancer.generator.dancing.dance,Edit funny videos via AI face swapping and create your own trendy videos photos,,"App info and performance, Photos and videos, Device or other IDs","Data is encrypted in transit, Data can’t be deleted"
Face Swap:AI Face Swap Editor,Face Dress AI,https://play.google.com/store/apps/details?id=com.apostles.maile.refaceswap,"Photos & videos. Custom face swaps. High-quality images, AI, realistic effects.",,,"Data is encrypted in transit, You can request that data be deleted"
FaceSwap Pro - DeepFake AI,Abasoft AI,https://play.google.com/store/apps/details?id=com.abasoft.faceswapx,Deepfake videos and images,,,"Data is encrypted in transit, Data can’t be deleted"
Face Swap AI Video Generator,KevsApps,https://play.google.com/store/apps/details?id=ai.face.swap.swapper.facemagic.deep.fake.facelab.enhancer.generator,Edit funny videos via AI face swapping and create your own trendy videos photos,,"Photos and videos, Device or other IDs, App info and performance","Data is encrypted in transit, Data can’t be deleted"
Face Swap AI Video Generator,PublHobby,https://play.google.com/store/apps/details?id=ai.face.swap.swaper.fun.magic.deep.enhancer.generator.dance.dancing.video,Edit funny videos via AI face swapping and create your own trendy videos photos,,"App info and performance, Device or other IDs, Photos and videos","Data is encrypted in transit, Data can’t be deleted"
PrettyUp - Video Body Editor,accordion,https://play.google.com/store/apps/details?id=com.accordion.prettyo,"Video face editor to retouch body and face tune edit, enhance selfie beauty.","App info and performance, Location, Personal info, App activity, Device or other IDs","App info and performance, Location, Personal info, App activity, Device or other IDs","Data is encrypted in transit, Data can’t be deleted"
FaceU - AI Face Swap Video,Wave Dance,https://play.google.com/store/apps/details?id=com.face.fakeu,"AI Face Swap Video Creator App, Upload your video, transfer to AI","App info and performance, App activity",Photos and videos,"Data is encrypted in transit, You can request that data be deleted"
"ABPV－America’s best pics, vids",FUNTECH PUBLISHING LTD,https://play.google.com/store/apps/details?id=com.americasbestpics,"ABPV is an American app with memes, funny pics, short videos & GIFs for adults!","Location, App activity, Personal info, Device or other IDs","Location, Contacts, App activity, Photos and videos, Messages, App info and performance, Personal info, Device or other IDs","Data isn’t encrypted, You can request that data be deleted"
AI Faceswap video&pic deepfake,Flora2023,https://play.google.com/store/apps/details?id=com.ai.faceswap.change,AI Faceswap for creating realistic face-swapping photos and videos!,"App info and performance, Device or other IDs, Messages, Audio, Personal info, Location, Photos and videos, Financial info, App activity, Files and docs",,"Data is encrypted in transit, Data can’t be deleted"
AI Face Swap Video : Face Swap,Dev Lab Studio,https://play.google.com/store/apps/details?id=gave.devla.aifaceswapvideoimageswap,Create face swap videos from your choice of templates with AI Face Swap Videos,,"Photos and videos, Device or other IDs","Data isn’t encrypted, Data can’t be deleted"
AI Kiss Video : AI Face Swap,ShivManas,https://play.google.com/store/apps/details?id=har.shiv.aifaceswapvideophotoapp,"AI Kiss Video: AI Face Swap App to create a photo kiss, hug, and face swap video",,"Photos and videos, Device or other IDs","Data isn’t encrypted, Data can’t be deleted"
Turbolearn - AI Note Taker,TurboLearn AI,https://play.google.com/store/apps/details?id=ai.turbolearn,"Leave your next lecture or meeting with beautiful notes, flashcards, & quizzes",,"Audio, Device or other IDs, App info and performance, App activity, Personal info","Data is encrypted in transit, You can request that data be deleted"
Wave AI Note Taker,Mohrer Associates,https://play.google.com/store/apps/details?id=com.ma.waveapp,"Transcription and Summary Tool. Record Meetings, Phone Calls, and more with AI",,"Audio, Personal info, App info and performance","Data is encrypted in transit, You can request that data be deleted"
AI Note Taker - Meeting Notes,FERASET,https://play.google.com/store/apps/details?id=com.feraset.ainote,Take notes with voice-to-text,"App info and performance, Files and docs, Personal info, Location, Audio, Device or other IDs, App activity","App info and performance, Files and docs, Personal info, Location, Audio, Device or other IDs, App activity","Data isn’t encrypted, Data can’t be deleted"
"AI Notebook: LLM Notes,Summary",Second Brain Builder,https://play.google.com/store/apps/details?id=ai.notes.notebook,lm note taker meeting minutes coconote plaud fathom audio transcribe turbo learn,,"Audio, Financial info, Files and docs, App activity, Personal info, Messages, Photos and videos, Device or other IDs","Data isn’t encrypted, You can request that data be deleted"
"NoteX: AI Note Taker, Notebook",SotaLabs,https://play.google.com/store/apps/details?id=com.sota.ainotex,"AI Notes, Smart Summaries, Mind Maps, Flashcards & AI Shorts - Work & Study",App info and performance,"App activity, Files and docs, Personal info, Audio, Device or other IDs, App info and performance","Data is encrypted in transit, You can request that data be deleted"
AI Note Taker - Voice to Notes,EVOLLY HK,https://play.google.com/store/apps/details?id=evolly.app.ainote,This AI-powered app captures and summarizes your meetings & lectures.,"Device or other IDs, App activity, App info and performance, Location","Device or other IDs, App activity, App info and performance, Location","Data is encrypted in transit, Data can’t be deleted"
Fireflies: AI notetaker,Fireflies.ai,https://play.google.com/store/apps/details?id=ai.fireflies.mobile,"Record, transcribe, and summarize your conversations",,"Personal info, Calendar, Audio, App activity, App info and performance","Data is encrypted in transit, You can request that data be deleted"
Smart Noter - AI Note Taker,Codespace Dijital,https://play.google.com/store/apps/details?id=com.codespaceapps.meetingtranscriber,Transcribe Speech to Text,,"App activity, App info and performance, Device or other IDs","Data is encrypted in transit, Data can’t be deleted"
Transcribe Meeting & AI Notes,MicroSingle,https://play.google.com/store/apps/details?id=com.microsingle.voicerecorder,"High quality voice recorder, support speech to text and edit audio files easily.",,"Device or other IDs, App activity, App info and performance","Data is encrypted in transit, You can request that data be deleted"
Voxscribe: AI Note Taker,HCM Technologies,https://play.google.com/store/apps/details?id=com.hcmtechs.voxscribe,"Transcribe any content. Convert Video, Speech & Voice to Text in Minutes.",Personal info,Personal info,"Data is encrypted in transit, You can request that data be deleted"
Instant AI Notes & Transcript,AI NOTES & TRANSCRIPT,https://play.google.com/store/apps/details?id=com.instant.ai.notes,"Generate trusted AI Notes from Recording, Link, Audio & Video file","Audio, Messages, Files and docs",Device or other IDs,Data isn’t encrypted
Note AI: Smart Note Taker,HubX,https://play.google.com/store/apps/details?id=com.hubx.noteai,Transcribe audio to text instantly—speech to text & AI-powered note-taking!,,App activity,"Data isn’t encrypted, Data can’t be deleted"
QuickTakes-AI Study Companion,Edkey Inc.,https://play.google.com/store/apps/details?id=com.edkey.quicktakes,"Record & upload college classes, files & homework & create ai flashcards & notes","Device or other IDs, App activity, Web browsing","Device or other IDs, App activity, Web browsing","Data is encrypted in transit, You can request that data be deleted"
Voicenotes,Coping Hard Inc.,https://play.google.com/store/apps/details?id=com.app.voicenotes,"Record notes, meetings, and ask AI","App activity, Device or other IDs",,"Data is encrypted in transit, You can request that data be deleted"
Microsoft OneNote: Save Notes,Microsoft Corporation,https://play.google.com/store/apps/details?id=com.microsoft.office.onenote,Powerful notepad to capture ideas & save notes. Easily organize & share notes,,"App activity, App info and performance","Data is encrypted in transit, You can request that data be deleted"
AI Note Taker: Meeting Minutes,LeoStudio Global Ltd.,https://play.google.com/store/apps/details?id=minutes.ai.note.taker,"Record and Transcribe Audio, Voice, Speech to Text, Notes","Device or other IDs, Files and docs, Audio, App info and performance",,"Data is encrypted in transit, Data can’t be deleted"
Nebo: Note Taking for Students,MyScript,https://play.google.com/store/apps/details?id=com.myscript.nebo,"The perfect note-taking app with notebooks, infinite paper, PDF & AI handwriting",,"Files and docs, App activity, Personal info","Data isn’t encrypted, You can request that data be deleted"
NoteNinja - AI Note Taker,APPNATION AS,https://play.google.com/store/apps/details?id=co.appnation.noteninja,"AI Note Taker for Meeting Notes, Voice Notes, Note Organizer and more!",,"Audio, Device or other IDs, App activity, Files and docs, App info and performance",Data isn’t encrypted
AI Note Taker : Transcribe,designshark,https://play.google.com/store/apps/details?id=com.transcribe.speech.to.text.app,"Meeting Minutes, audio to text transcription. record meetings in any language",,,
AI Summarizer: Essay & Story,Softo Tech,https://play.google.com/store/apps/details?id=com.summarizer.org,Use our Summarizer app to quickly generate a summary for any type of content.,,,
Summary: AI Text Summarizer,Qvalitech,https://play.google.com/store/apps/details?id=dev.insider.apps.summary,"Summarize any note, text or URL with our AI-based summary writing app!",,"Device or other IDs, App activity, Personal info, App info and performance",Data is encrypted in transit
Summary: Text Summarizer,Evgeniy Mikholap,https://play.google.com/store/apps/details?id=com.net.cleanapps.summarize,Summarize any text in 1 click,,,"Data is encrypted in transit, Data can’t be deleted"
TubeOnAI - Summarize Anything,TubeOnAI,https://play.google.com/store/apps/details?id=com.tubeonai.app,Summarize and repurpose any content effortlessly with TubeOnAI.,,"App info and performance, Personal info","Data is encrypted in transit, You can request that data be deleted"
AI Book Summaries Generator,Conquer App,https://play.google.com/store/apps/details?id=com.app.ai.book.summary,"Condense books into short quick summaries. Save time, enhance comprehension",,"App info and performance, Personal info, Device or other IDs","Data is encrypted in transit, Data can’t be deleted"
AI summarizer,MD TECH,https://play.google.com/store/apps/details?id=com.ai.summarizer,Ultimate Article Summarisation Solution,"Device or other IDs, App info and performance",Personal info,"Data isn’t encrypted, You can request that data be deleted, Committed to follow the Play Families Policy"
Text Summary - TLDR Summarize,KreativityAppsSRL,https://play.google.com/store/apps/details?id=com.aya.textsummarizer,"Summary and essay writer: shortform, paraphrase tool, paragraph quickreads","Health and fitness, Personal info, Location, App activity, Financial info","App info and performance, Health and fitness, Personal info, Location, App activity, Device or other IDs, Financial info","Data is encrypted in transit, Data can’t be deleted"
ChatPDF: AI Chat & PDF Summary,FlaviusApps,https://play.google.com/store/apps/details?id=app.mv.pdfai_app,"Summarize text, book, epub with GPT. Study AI for homework helper & essay writer",,,"Data is encrypted in transit, Data can’t be deleted"
PDF AI: PDF Summarizer & Chat,Apps by Merlin AI,https://play.google.com/store/apps/details?id=com.foyer.pdfai,"Chat with PDFs, summarize content, and ace homework.",,"Device or other IDs, Personal info, Files and docs, App info and performance, App activity","Data is encrypted in transit, You can request that data be deleted"
AI Text Summarizer - Summify,"ENGLISH IN GAMES, Improve listening by Podcast",https://play.google.com/store/apps/details?id=com.englishingames.summishare,"Summify: website, video and text AI Summarizer",Location,,"Data is encrypted in transit, Data can’t be deleted"
Summarizer: Voice Transcriber,"42apps, TOO",https://play.google.com/store/apps/details?id=com.apps42.summarizer.app,Transcribe video to text and audio transcription. Quickly transcribe voice memo!,,"Personal info, Audio, App info and performance",Data is encrypted in transit
Eightify・AI Video Summarizer,Eightify,https://play.google.com/store/apps/details?id=com.eightify,Transcribe and summarize videos quickly and easily with this app.,"App info and performance, Device or other IDs","Personal info, Financial info","Data is encrypted in transit, You can request that data be deleted"
Text Summary: AI Summarizer,Tech Boeing,https://play.google.com/store/apps/details?id=com.textsummarizer.summerize.summaryapp,AI text summarizer app helps you summarize text in a human written form.,,,
Text Summarizer: Short Summary,Digitops,https://play.google.com/store/apps/details?id=com.textsummarizer.summarizer,You can summarize your long content into a short text summary.,,,"Data is encrypted in transit, Data can’t be deleted"
Video Summarizer,Remote Mouse,https://play.google.com/store/apps/details?id=com.emote.youtube_summarizer,Summarize and Chat with Popular videos,,"Device or other IDs, Personal info, App info and performance","Data is encrypted in transit, You can request that data be deleted"
Snackz.ai: Book Summaries,Snackz.ai,https://play.google.com/store/apps/details?id=com.snackz.snackzai,Enjoy book summaries & find books & book recommendations for your book club!,"App activity, App info and performance, Device or other IDs",,"Data is encrypted in transit, Data can’t be deleted"
Summarizr: AI Text Summarizer,RuTrueBenz,https://play.google.com/store/apps/details?id=com.newsgptgen.summarizr,Summarizr is AI text summarizer to convert long article to bullet point summary.,"App activity, App info and performance, Device or other IDs","Personal info, Device or other IDs","Data isn’t encrypted, You can request that data be deleted"
